"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"mu_log_p","q05",6.6556005307514,6.70425180558429,0.0486512748328884,0.0381737180258712,3.5062047266172,0.133844870574862,TRUE
"mu_log_alpha_l","q05",-9.81239095742668,-9.69776634524597,0.114624612180714,0.136230765244627,3.5062047266172,0.477652953011391,TRUE
"mu_u_pi","q05",-0.239776696326048,-0.674461530027597,-0.434684833701549,0.153669110431522,3.5062047266172,0.538795361330064,TRUE
"mu_u_eta_rti","q05",3.78139288956134,3.74244191800551,-0.0389509715558312,0.0363180076411823,3.5062047266172,0.127338370052833,TRUE
"mu_u_eta_pi","q05",4.96674513588135,4.97458486526612,0.00783972938476918,0.0184907737699777,3.5062047266172,0.0648324383911052,TRUE
"beta_nelf","q05",-2.15154954242282,-2.05067630928033,0.100873233142486,0.225687294057611,3.5062047266172,0.791305857162241,TRUE
"log_omega_lambda","q05",-1.14348697629193,-1.14780969932088,-0.00432272302895664,0.0133652344070331,3.5062047266172,0.0468612480502864,TRUE
"log_omega_mu_t","q05",-1.76086194157828,-1.76873642665996,-0.00787448508168009,0.023080639485068,3.5062047266172,0.0809254472558931,TRUE
"log_omega_mu_a","q05",-1.65132319757297,-1.63556724359079,0.0157559539821792,0.0505472830948249,3.5062047266172,0.177229122904733,TRUE
"log_omega_p","q05",-1.30514160191999,-1.21760774099695,0.0875338609230314,0.0374975780496356,3.5062047266172,0.13147418539433,TRUE
"log_omega_alpha_l","q05",-1.58259620275831,-1.49577283052144,0.0868233722368656,0.134672668362014,3.5062047266172,0.472189946357046,TRUE
"log_omega_pi","q05",-1.85116829140654,-1.83124028168876,0.0199280097177776,0.026512438525601,3.5062047266172,0.0929580372726104,TRUE
"log_omega_eta_rti","q05",-1.60808659822373,-1.60535821420199,0.00272838402173758,0.0225809108008409,3.5062047266172,0.07917329618123,TRUE
"log_omega_eta_pi","q05",-1.62941036588231,-1.62287167272442,0.00653869315788169,0.0210671472815037,3.5062047266172,0.0738657313747491,TRUE
