"reserve_id","finite_target_patients","useful_patients","sum_pairwise_acceptance","snapshot","useful_ode_patients"
"reserve_043",12,2,1.32834806525157,"comparator_chain03_retained0750",0
"reserve_044",12,2,1.25317470673218,"comparator_chain03_retained0750",1
"reserve_045",12,1,0.555732900326224,"comparator_chain03_retained0750",1
"reserve_046",12,1,0.793677017008693,"comparator_chain03_retained0750",0
"reserve_047",12,2,0.523514960831489,"comparator_chain03_retained0750",1
"reserve_048",12,2,1.16259106522978,"comparator_chain03_retained0750",0
"reserve_049",12,0,0.00893169834397927,"comparator_chain03_retained0750",0
"reserve_050",12,0,0.054707713452146,"comparator_chain03_retained0750",0
"reserve_051",12,1,0.820622992259241,"comparator_chain03_retained0750",0
"reserve_052",12,2,1.96723402173857,"comparator_chain03_retained0750",0
"reserve_053",12,0,6.35804548467292e-09,"comparator_chain03_retained0750",0
"reserve_054",12,0,0.017288501001847,"comparator_chain03_retained0750",0
"reserve_055",12,2,0.355121814319907,"comparator_chain03_retained0750",2
"reserve_056",12,0,0.000182613172454074,"comparator_chain03_retained0750",0
"reserve_057",12,1,0.262219329638901,"comparator_chain03_retained0750",0
"reserve_058",12,1,0.942201956559669,"comparator_chain03_retained0750",1
"reserve_059",12,1,0.160077826430871,"comparator_chain03_retained0750",0
"reserve_060",12,2,1.10949028702172,"comparator_chain03_retained0750",0
"reserve_061",12,0,8.01196015766771e-05,"comparator_chain03_retained0750",0
"reserve_062",12,1,0.546876238974028,"comparator_chain03_retained0750",0
"reserve_063",12,2,1.39349322737629,"comparator_chain03_retained0750",0
"reserve_064",12,0,2.57741492570028e-07,"comparator_chain03_retained0750",0
"reserve_065",12,1,1.0202117398529,"comparator_chain03_retained0750",1
"reserve_066",12,0,1.90010397540713e-06,"comparator_chain03_retained0750",0
"reserve_067",12,0,2.21441147757403e-13,"comparator_chain03_retained0750",0
"reserve_068",12,0,1.14092445447493e-15,"comparator_chain03_retained0750",0
"reserve_069",12,0,1.06905581376864e-06,"comparator_chain03_retained0750",0
"reserve_070",12,4,1.26499657967234,"comparator_chain03_retained0750",3
"reserve_071",12,0,3.17213675233732e-05,"comparator_chain03_retained0750",0
"reserve_072",12,2,1.20140764492039,"comparator_chain03_retained0750",0
"reserve_073",12,4,1.42515540894625,"comparator_chain03_retained0750",2
"reserve_074",12,1,1.00603391154413,"comparator_chain03_retained0750",0
"reserve_075",12,0,0.000866878672611293,"comparator_chain03_retained0750",0
"reserve_076",12,2,0.86326271597154,"comparator_chain03_retained0750",2
"reserve_077",12,2,0.89653017556725,"comparator_chain03_retained0750",0
"reserve_078",12,2,1.31611606670944,"comparator_chain03_retained0750",1
"reserve_079",12,4,1.28617571484188,"comparator_chain03_retained0750",3
"reserve_080",12,1,0.269002144889251,"comparator_chain03_retained0750",0
"reserve_081",12,0,0.0524169760233619,"comparator_chain03_retained0750",0
"reserve_082",12,0,0.0543176687904127,"comparator_chain03_retained0750",0
"reserve_083",12,0,6.59130171665127e-05,"comparator_chain03_retained0750",0
"reserve_084",12,3,2.33643346065341,"comparator_chain03_retained0750",3
"reserve_085",12,0,3.0614409319441e-05,"comparator_chain03_retained0750",0
"reserve_086",12,0,7.26032084967651e-16,"comparator_chain03_retained0750",0
"reserve_087",12,1,0.1032228619297,"comparator_chain03_retained0750",0
"reserve_088",12,1,0.163645025660449,"comparator_chain03_retained0750",0
"reserve_089",12,1,0.284742340995736,"comparator_chain03_retained0750",0
